spec,actualPrice,s26Price,wpPrice,deltaAbs,deltaPct,expert,tier,band,reason,flags
"2.52ct oval_standard D/VVS2 - CVD",407.29,335.6312554905883,414.66519360000007,79.03,23.55,"S30","dense","high","null","largeDelta"
"2.51ct square_cushion_modified E/VS1  CVD",384.88,309.17734854452937,388.20446884999984,79.03,25.56,"S30","dense","high","null","largeDelta"
"2.11ct asscher_standard E/VS1 - CVD",268.76,267.1541976055882,345.67422094999995,78.52,29.39,"S30","dense","high","null","largeDelta"
"2.09ct asscher_standard E/VVS2  CVD",394.76,349.60094715894115,272.5188515499999,-77.08,-22.05,"S30","dense","high","null","largeDelta"
"2.51ct oval_standard D/VVS2 - CVD",407.29,334.29938542911765,410.9186510999999,76.62,22.92,"S30","dense","high","null","largeDelta"
"2.5ct square_cushion_modified E/VS1 - CVD",385.06,307.94556627941176,383.3499999999999,75.4,24.49,"S30","dense","high","null","largeDelta"
"2.5ct square_cushion_modified E/VS1 - CVD",384.88,307.94556627941176,383.3499999999999,75.4,24.49,"S30","dense","high","null","largeDelta"
"2.65ct marquise_standard E/VS1 - CVD",395.82,324.4822364564706,397.3178125,72.84,22.45,"S30","dense","high","null","largeDelta"
"2.5ct oval_standard D/VVS2  CVD",395.12,332.9675153676471,405.67500000000007,72.71,21.84,"S30","dense","high","null","largeDelta"
"2.05ct asscher_standard E/VVS2  CVD",394.76,342.9100199405882,274.04271875,-68.87,-20.08,"S30","dense","high","null","largeDelta"
"1.62ct asscher_standard D/VVS2  CVD",179.12,246.61431742870587,178.0923672,-68.52,-27.79,"S30","dense","medium","null","largeDelta"
"1.5ct round_standard E/VVS1 EX CVD",318.35,318.3529411764706,250.10761062383312,-68.25,-21.44,"S33A","medium","medium","null","largeDelta"
"1.46ct radiant_modified E/VS1 - CVD",199.24,199.2352941177647,131.38832,-67.85,-34.05,"S30","dense","high","null","largeDelta"
"1.6ct emerald_standard D/VVS1  CVD",240.18,306.1719457035294,243.216,-62.96,-20.56,"S30","dense","medium","null","largeDelta"
"1.3ct oval_standard D/VVS1  HPHT",183.53,170.4844290652941,222.04192592592594,51.56,30.24,"S30","dense","high","null","largeDelta"
"1.62ct round_standard E/VS1 ID CVD",257.29,226.6900452444706,176.175,-50.52,-22.28,"S30","dense","high","null","largeDelta"
"1.58ct emerald_standard F/VVS2  CVD",158.82,158.82352941235297,206.83919040000004,48.02,30.23,"S30","dense","medium","null","largeDelta"
"1.57ct round_standard E/VS1 ID CVD",218.29,219.6934389097647,173.91861045000002,-45.77,-20.84,"S30","dense","high","null","largeDelta"
"1.56ct round_standard E/VS1 ID CVD",218.29,218.29411764282352,174.26248320000002,-44.03,-20.17,"S30","dense","high","null","largeDelta"
"1.05ct radiant_modified E/VS1 - CVD",130.24,104.62752581647058,137.98575,33.36,31.88,"S30","dense","high","null","largeDelta"
"1.05ct radiant_modified E/VS1 - CVD",130.24,104.62752581647058,137.98575,33.36,31.88,"S30","dense","high","null","largeDelta"
"1.02ct princess_standard D/VVS1 - HPHT",139.46,139.464705882,171.6203875926634,32.16,23.06,"S33A","dense","medium","null","princess;largeDelta"
"1.53ct asscher_standard D/VS1  CVD",263.65,146.63535912,177.79915800000003,31.16,21.25,"S30","dense","medium","null","largeDelta"
"1.52ct asscher_standard D/VS1  CVD",173.29,145.67695808,176.16496,30.49,20.93,"S30","dense","medium","null","largeDelta"
